Datetime,Temp_C,Pressure_hpa,Humidity_pc,time_m
2021-12-17 22:02:04.395000,22.16,1000.42,30.56,1322.07
2021-12-17 22:22:04.081043,22.34,1000.07,29.97,1342.07
2021-12-17 22:42:04.455818,22.12,1000.15,30.49,1362.07
2021-12-17 23:02:04.698964,21.72,1000.77,31.21,1382.07
2021-12-17 23:22:04.404817,21.54,1000.26,31.41,1402.07
2021-12-17 23:42:04.779956,21.42,1000.09,31.50,1422.07
2021-12-18 00:02:03.991773,21.32,999.75,31.56,2.05
2021-12-18 00:22:04.682827,21.24,999.20,31.56,22.07
2021-12-18 00:42:04.062369,21.15,998.71,31.60,42.07
2021-12-18 01:02:04.268632,21.06,998.48,31.70,62.07
2021-12-18 01:22:03.952668,20.92,998.55,31.88,82.05
2021-12-18 01:42:04.270545,20.75,998.37,32.06,102.07
2021-12-18 02:02:04.476986,20.73,998.60,31.98,122.07
2021-12-18 02:22:04.202583,20.53,998.33,32.30,142.07
2021-12-18 02:42:04.609321,20.42,997.99,32.35,162.07
2021-12-18 03:02:04.837349,20.28,997.86,32.43,182.07
2021-12-18 03:22:04.510013,20.13,997.70,32.62,202.07
2021-12-18 03:42:03.884131,20.12,997.11,32.43,222.05
2021-12-18 04:02:04.134980,19.94,996.60,32.61,242.07
2021-12-18 04:22:04.788878,19.88,996.28,32.50,262.07
2021-12-18 04:42:04.179993,19.79,995.59,32.50,282.07
2021-12-18 05:02:04.380703,19.68,995.33,32.60,302.07
2021-12-18 05:22:04.085048,19.87,994.62,32.01,322.07
2021-12-18 05:42:04.429578,22.43,994.26,27.37,342.07
2021-12-18 06:02:04.711163,23.24,994.17,26.78,362.07
2021-12-18 06:22:04.348558,22.07,994.03,29.37,382.07
2021-12-18 06:42:04.538615,24.56,993.65,25.10,402.07
2021-12-18 07:02:04.782475,22.29,993.56,29.75,422.07
2021-12-18 07:22:04.437854,22.33,993.36,29.56,442.07
2021-12-18 07:42:04.784835,22.74,992.95,28.76,462.07
2021-12-18 08:02:04.013189,22.04,992.91,30.23,482.07
2021-12-18 08:22:04.679748,22.61,992.54,29.46,502.07
2021-12-18 08:42:04.072595,22.32,992.09,30.21,522.07
2021-12-18 09:02:04.277843,21.99,991.93,30.72,542.07
2021-12-18 09:22:03.980425,22.35,991.48,30.02,562.05
2021-12-18 09:42:04.360886,22.03,991.34,30.63,582.07
2021-12-18 10:02:04.588753,22.15,991.50,30.38,602.07
2021-12-18 10:22:04.351232,22.22,991.19,30.32,622.07
2021-12-18 10:42:04.736967,21.95,990.87,30.82,642.07
2021-12-18 11:02:03.027336,22.36,990.53,30.21,662.05
2021-12-18 11:22:04.706987,22.15,989.96,30.75,682.07
2021-12-18 11:42:04.098542,22.23,989.56,30.98,702.07
2021-12-18 12:02:04.328702,22.36,988.98,31.99,722.07
2021-12-18 12:22:04.025164,22.33,988.81,31.62,742.07
2021-12-18 12:42:04.429952,22.25,987.95,31.75,762.07
2021-12-18 13:02:04.691254,22.44,987.72,31.35,782.07
2021-12-18 13:22:04.375425,22.45,987.74,32.50,802.07
2021-12-18 13:42:04.677093,22.36,987.53,36.07,822.07
2021-12-18 14:02:03.921035,22.42,987.47,36.87,842.05
2021-12-18 14:22:05.588433,22.61,987.89,35.77,862.08
2021-12-18 14:42:04.048489,22.57,988.28,36.97,882.07
2021-12-18 15:02:04.764960,22.39,988.28,35.04,902.07
2021-12-18 15:22:05.224397,22.13,988.47,34.58,922.08
2021-12-18 15:42:04.713233,22.14,989.07,33.71,942.07
2021-12-18 16:02:04.668532,22.10,989.56,33.36,962.07
2021-12-18 16:22:04.600723,21.95,990.17,33.25,982.07
2021-12-18 16:42:05.073679,22.31,990.52,32.16,1002.08
2021-12-18 17:02:05.606067,22.04,990.68,32.60,1022.08
2021-12-18 17:22:04.330339,22.04,991.07,32.34,1042.07
2021-12-18 17:42:05.341144,22.29,991.72,31.72,1062.08
2021-12-18 18:02:04.731952,22.06,991.88,32.13,1082.07
2021-12-18 18:22:04.454870,22.20,992.49,32.86,1102.07
2021-12-18 18:42:04.838700,22.25,992.79,32.78,1122.07
2021-12-18 19:02:04.067415,22.07,993.16,32.65,1142.07
2021-12-18 19:22:05.429850,22.24,993.64,31.72,1162.08
2021-12-18 19:42:04.794532,21.91,993.77,32.23,1182.07
2021-12-18 20:02:04.268836,21.91,994.25,32.03,1202.07
2021-12-18 20:22:04.841267,22.27,994.68,31.08,1222.07
2021-12-18 20:42:04.298443,22.21,995.02,31.27,1242.07
2021-12-18 21:02:04.708675,22.09,995.53,31.65,1262.07
2021-12-18 21:22:04.348351,22.15,995.66,31.54,1282.07
2021-12-18 21:42:04.734651,22.03,995.87,31.75,1302.07
2021-12-18 22:02:03.995489,22.43,996.22,30.72,1322.05
2021-12-18 22:22:04.663395,22.29,996.66,31.02,1342.07
2021-12-18 22:42:04.014789,21.89,996.90,31.68,1362.07
2021-12-18 23:02:04.217821,21.60,997.32,32.05,1382.07
2021-12-18 23:22:03.881515,21.32,997.65,32.43,1402.05
2021-12-18 23:42:04.248895,21.18,997.80,32.58,1422.07
2021-12-19 00:02:05.708386,21.09,997.88,32.55,2.08
2021-12-19 00:22:04.622375,20.99,997.95,32.55,22.07
2021-12-19 00:42:03.984889,20.84,998.36,32.75,42.05
2021-12-19 01:02:04.211444,20.65,998.51,32.87,62.07
2021-12-19 01:22:03.863432,20.47,998.68,33.22,82.05
2021-12-19 01:42:04.215670,20.46,999.05,32.94,102.07
2021-12-19 02:02:04.421420,20.27,999.58,33.26,122.07
2021-12-19 02:22:04.101448,20.17,1000.01,33.34,142.07
2021-12-19 02:42:04.439736,19.97,1000.14,33.60,162.07
2021-12-19 03:02:04.631601,19.86,1000.45,33.51,182.07
2021-12-19 03:22:04.286016,19.80,1000.71,33.55,202.07
2021-12-19 03:42:04.728630,19.71,1000.69,33.36,222.07
2021-12-19 04:02:03.951849,19.60,1000.81,33.37,242.05
2021-12-19 04:22:04.681417,19.51,1000.99,33.30,262.07
2021-12-19 04:42:04.030705,19.42,1000.90,33.17,282.07
2021-12-19 05:02:04.258463,20.10,1001.40,31.44,302.07
2021-12-19 05:22:03.957721,20.91,1001.62,29.86,322.05
2021-12-19 05:42:04.322360,21.89,1001.74,28.82,342.07
2021-12-19 06:02:04.509737,21.64,1001.85,29.62,362.07
2021-12-19 06:22:04.195480,24.09,1002.02,25.44,382.07
2021-12-19 06:42:04.227817,22.85,1002.49,28.26,402.07
2021-12-19 07:02:04.649587,22.21,1002.97,29.74,422.07
2021-12-19 07:22:04.347471,23.04,1003.11,27.90,442.07
2021-12-19 07:42:04.720841,22.00,1003.26,30.06,462.07
2021-12-19 08:02:03.949722,22.26,1003.27,29.89,482.05
2021-12-19 08:22:04.682816,22.55,1003.54,29.27,502.07
2021-12-19 08:42:04.054480,21.86,1003.89,30.53,522.07
2021-12-19 09:02:04.243309,22.34,1004.22,29.41,542.07
2021-12-19 09:22:03.912016,22.20,1004.38,29.62,562.05
2021-12-19 09:42:04.295372,22.04,1004.70,29.99,582.07
2021-12-19 10:02:04.514571,22.33,1004.87,29.27,602.07
2021-12-19 10:22:04.180781,21.91,1004.98,30.11,622.07
2021-12-19 10:42:04.588853,21.98,1005.13,29.79,642.07
2021-12-19 11:02:04.876679,22.25,1005.17,29.19,662.07
2021-12-19 11:22:04.566943,21.95,1004.88,29.82,682.07
2021-12-19 11:42:03.941010,22.12,1004.70,29.46,702.05
2021-12-19 12:02:04.145668,22.13,1004.52,29.47,722.07
2021-12-19 12:22:04.838166,21.92,1004.42,29.76,742.07
2021-12-19 12:42:04.206781,22.35,1004.45,28.94,762.07
2021-12-19 13:02:04.465561,22.17,1004.42,29.27,782.07
2021-12-19 13:22:04.191687,22.03,1004.30,29.34,802.07
2021-12-19 13:42:04.563259,22.44,1004.36,28.32,822.07
2021-12-19 14:02:04.784933,22.17,1004.40,29.02,842.07
2021-12-19 14:22:04.467638,22.05,1004.53,28.88,862.07
2021-12-19 14:42:04.821644,22.15,1004.46,28.85,882.07
2021-12-19 15:02:04.017082,21.69,1004.67,29.77,902.07
2021-12-19 15:22:04.708433,22.13,1004.62,28.51,922.07
2021-12-19 15:42:04.073553,21.95,1004.87,29.04,942.07
2021-12-19 16:02:04.298561,21.68,1005.04,29.33,962.07
2021-12-19 16:22:03.997883,22.41,1005.06,27.81,982.05
2021-12-19 16:42:04.348634,22.09,1005.01,28.69,1002.07
2021-12-19 17:02:04.540369,21.84,1004.91,28.95,1022.07
2021-12-19 17:22:04.218159,22.13,1005.01,28.40,1042.07
2021-12-19 17:42:04.578313,21.97,1005.02,29.34,1062.07
2021-12-19 18:02:04.818729,21.71,1005.09,29.66,1082.07
2021-12-19 18:22:04.533120,21.90,1005.43,29.40,1102.07
2021-12-19 18:42:03.959195,21.66,1005.47,29.72,1122.05
2021-12-19 19:02:04.154540,22.22,1005.41,28.33,1142.07
2021-12-19 19:22:04.801410,21.83,1005.47,29.22,1162.07
2021-12-19 19:42:04.148907,21.73,1005.63,29.21,1182.07
2021-12-19 20:02:04.368834,22.08,1005.47,28.47,1202.07
2021-12-19 20:22:04.024384,21.72,1005.52,29.24,1222.07
2021-12-19 20:42:04.438791,21.84,1005.68,28.86,1242.07
2021-12-19 21:02:04.597078,22.20,1005.45,28.25,1262.07
2021-12-19 21:22:04.301165,21.77,1005.53,29.08,1282.07
2021-12-19 21:42:04.640708,21.99,1005.27,28.38,1302.07
2021-12-19 22:02:04.870861,21.90,1005.16,28.74,1322.07
2021-12-19 22:22:04.716050,21.56,1004.95,29.27,1342.07
